Neighborhood
AB Road
Abhinandan Nagar Road
Alok Nagar Row Houses
Annapurna Road
Anoop Nagar
Ashish Nagar
Bairathi Colony
Bengali Square
Bhagirath Pura
Bicholi Hapsi Road
Bicholi Mardana Road
Bypass Road
Chhavni
Dhar Road
Girdhar Nagar
IDA Scheme 140
Indore - Pithampur Road
Jail Road
Jawahar Marg
Kalindi Kunj
Kalindi Mid Town
Kanadia Road
Keshar Bagh Road
Khajrana Road
Khajuri Bazaar
Khandwa Road
Khatiwala Tank
Lokmanya Nagar
Maanavta Nagar
Manik Bagh Road
Manishpuri
Manorama Ganj
MG Road
Morya Hills
MR 10 Road
MTH Compound
Nai Duniya
Nanda Nagar
New Palasia
Nihalpur
Niranjanpur Circle
Old Palasia
Palakhedi
Pardesi Pura
Pipliya Road
Pipliyahana Square
Race Course Road
Rajendra Nagar
Rajwada
Rani Sati Gate
Regional Park Road
Ring Road
RNT Marg
Sainath Colony
Sanvid Nagar
Sapna Sangeeta Road
Sarv Suvidha Nagar
Scheme No.54
Shiv Shakti Nagar Road
Shree Nagar Extension
Siyaganj
Sneh Nagar
Snehlataganj
South Tukoganj
Super Corridor
Telephone Nagar
Tilak Nagar Main Road
Tukoganj
Ujjain Road
Vandana Nagar Main Road
Vijay Nagar
Vishnu Puri Colony
White Church Colony
Yeshwant Niwas Road
YN Road
